station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+00,3.416076101007767818e+01,5.092736237317612158e-01,2.531645569620253333e-01,4.415515432536908236e+01,9.112837948843480751e-01,6.253164556962024889e+00
2.000000000000000000e+00,3.431390918956177671e+01,1.021615848034307605e+00,5.063291139240506666e-01,4.429134190302637109e+01,1.829582936267169169e+00,6.506329113924050667e+00
3.000000000000000000e+00,3.445949198167381411e+01,1.535168903372414073e+00,7.594936708860760000e-01,4.440846366632809605e+01,2.752290630522137960e+00,6.759493670886076444e+00
4.000000000000000000e+00,3.459766131606603778e+01,2.048069586144332987e+00,1.012658227848101333e+00,4.450661123950497711e+01,3.676801668365664355e+00,7.012658227848101333e+00
5.000000000000000000e+00,3.472867118935327113e+01,2.558464256964867900e+00,1.265822784810126667e+00,4.458606401179977752e+01,4.600536280761955865e+00,7.265822784810126223e+00
6.000000000000000000e+00,3.485287332821886963e+01,3.064523625050874944e+00,1.518987341772152000e+00,4.464728302292858331e+01,5.520963538633101741e+00,7.518987341772152000e+00
7.000000000000000000e+00,3.497071103156591931e+01,3.564457120595423856e+00,1.772151898734177333e+00,4.469090180270902835e+01,6.435623929504666663e+00,7.772151898734177777e+00
8.000000000000000000e+00,3.508271133027947997e+01,4.056526674153126955e+00,2.025316455696202667e+00,4.471771437466346555e+01,7.342150772893712762e+00,8.025316455696202667e+00
9.000000000000000000e+00,3.518947564106439785e+01,4.539059744072572400e+00,2.278481012658227556e+00,4.472866069338039097e+01,8.238290174200582072e+00,8.278481012658227556e+00
1.000000000000000000e+01,3.529166912348703988e+01,5.010461458850569372e+00,2.531645569620253333e+00,4.472480983668889110e+01,9.121919262380865590e+00,8.531645569620252445e+00
1.100000000000000000e+01,3.539000897595788331e+01,5.469225769743639276e+00,2.784810126582278222e+00,4.470734131494017305e+01,9.991062507752655364e+00,8.784810126582279111e+00
1.200000000000000000e+01,3.548525192636132175e+01,5.913945538764509458e+00,3.037974683544304000e+00,4.467752488999431648e+01,1.084390597076611762e+01,9.037974683544304000e+00
1.300000000000000000e+01,3.557818118603313451e+01,6.343321517004882004e+00,3.291139240506328889e+00,4.463669931541888047e+01,1.167880938819386216e+01,9.291139240506328889e+00
1.400000000000000000e+01,3.566959314171106854e+01,6.756170196797606664e+00,3.544303797468354666e+00,4.458625041689455060e+01,1.249431605780630861e+01,9.544303797468355555e+00
1.500000000000000000e+01,3.576028405907048580e+01,7.151430547407106708e+00,3.797468354430379556e+00,4.452758892827294090e+01,1.328916053413976961e+01,9.797468354430378668e+00
1.600000000000000000e+01,3.585103706383945621e+01,7.528169666725770703e+00,4.050632911392405333e+00,4.446212848488431035e+01,1.406227419465079187e+01,1.005063291139240533e+01
1.700000000000000000e+01,3.594260965276657060e+01,7.885587400070862785e+00,4.303797468354430222e+00,4.439126415258617442e+01,1.481278877589328857e+01,1.030379746835443022e+01
1.800000000000000000e+01,3.603572196752409695e+01,8.223019991074618673e+00,4.556962025316455112e+00,4.431635183994390559e+01,1.554003801223555570e+01,1.055696202531645511e+01
