station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+00,2.999912741014794548e+01,2.288113408689556871e-01,3.728813559322033955e-01,5.499360110081319419e+01,8.389505138195614276e-01,8.372881355932204173e+00
2.000000000000000000e+00,2.999650969135264944e+01,4.576093711743062786e-01,7.457627118644067910e-01,5.497440589219498008e+01,1.677705814556917474e+00,8.745762711864406569e+00
3.000000000000000000e+00,2.999214699589377275e+01,6.863807811267573777e-01,1.118644067796610297e+00,5.494241884062552828e+01,2.516070734553456312e+00,9.118644067796610742e+00
4.000000000000000000e+00,2.998603957756089500e+01,9.151122624855912990e-01,1.491525423728813582e+00,5.489764738908370134e+01,3.353850196987184340e+00,9.491525423728813138e+00
5.000000000000000000e+00,2.997818779163877423e+01,1.143790509332842875e+00,1.864406779661016866e+00,5.484010195531512721e+01,4.190849261264615322e+00,9.864406779661017310e+00
6.000000000000000000e+00,2.996859209488665243e+01,1.372402218847339705e+00,2.237288135593220595e+00,5.476979592940813291e+01,5.026873168380957324e+00,1.023728813559322148e+01
7.000000000000000000e+00,2.995725304551170964e+01,1.600934092078563076e+00,2.610169491525423879e+00,5.468674567067807146e+01,5.861727386238051452e+00,1.061016949152542388e+01
8.000000000000000000e+00,2.994417130313656372e+01,1.829372834720282448e+00,2.983050847457627164e+00,5.459097050386069583e+01,6.695217654909504823e+00,1.098305084745762628e+01
9.000000000000000000e+00,2.992934762876093657e+01,2.057705157883921387e+00,3.355932203389830892e+00,5.448249271461552468e+01,7.527150031842502642e+00,1.135593220338983045e+01
1.000000000000000000e+01,2.991278288471734115e+01,2.285917778871608519e+00,3.728813559322033733e+00,5.436133754434028731e+01,8.357330936985766456e+00,1.172881355932203462e+01
1.100000000000000000e+01,2.989447803462094910e+01,2.513997421948863664e+00,4.101694915254237017e+00,5.422753318429754188e+01,9.185567197833155006e+00,1.210169491525423702e+01
1.200000000000000000e+01,2.987443414331352542e+01,2.741930819116885854e+00,4.474576271186441190e+00,5.408111076905496617e+01,1.001166609437244936e+01,1.247457627118644119e+01
1.300000000000000000e+01,2.985265237680147976e+01,2.969704710884388810e+00,4.847457627118643586e+00,5.392210436924068517e+01,1.083543540392883742e+01,1.284745762711864359e+01
1.400000000000000000e+01,2.982913400218803801e+01,3.197305847038937276e+00,5.220338983050847759e+00,5.375055098361551842e+01,1.165668344589268557e+01,1.322033898305084776e+01
1.500000000000000000e+01,2.980388038759953773e+01,3.424720987417748663e+00,5.593220338983050155e+00,5.356649053046383102e+01,1.247521912632115715e+01,1.359322033898305015e+01
