station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000000e+00,2.799950732692599331e+01,1.661007207018181941e-01,7.796610169491525744e-01,5.799648021371058348e+01,6.389701250263032373e-01,1.077966101694915224e+01
2.000000000000000000e+00,2.799802932504159614e+01,3.321955961641605004e-01,1.559322033898305149e+00,5.798592128204564489e+01,1.277862697008281812e+00,1.155932203389830448e+01
3.000000000000000000e+00,2.799556604635907320e+01,4.982787813532503773e-01,2.338983050847457612e+00,5.796832448656321901e+01,1.916600172314375516e+00,1.233898305084745672e+01
4.000000000000000000e+00,2.799211757756351204e+01,6.643444316467028710e-01,3.118644067796610297e+00,5.794369196302050540e+01,2.555105026137406643e+00,1.311864406779661074e+01
5.000000000000000000e+00,2.798768404000973575e+01,8.303867030392025894e-01,3.898305084745762539e+00,5.791202670111471917e+01,3.193299761903920064e+00,1.389830508474576298e+01
6.000000000000000000e+00,2.798226558971808231e+01,9.963997523481595842e-01,4.677966101694915224e+00,5.787333254412015293e+01,3.831106920680092287e+00,1.467796610169491522e+01
7.000000000000000000e+00,2.797586241736886592e+01,1.162377737419335588e+00,5.457627118644068354e+00,5.782761418842175516e+01,4.468449090573068716e+00,1.545762711864406924e+01
8.000000000000000000e+00,2.796847474829571567e+01,1.328314817332436393e+00,6.237288135593220595e+00,5.777487718294507602e+01,5.105248916126598147e+00,1.623728813559322148e+01
9.000000000000000000e+00,2.796010284247759614e+01,1.494205152606658649e+00,7.016949152542373724e+00,5.771512792848285756e+01,5.741429107709817181e+00,1.701694915254237372e+01
1.000000000000000000e+01,2.795074699452969114e+01,1.660042905406185376e+00,7.796610169491525077e+00,5.764837367691808367e+01,6.376912450898038820e+00,1.779661016949152597e+01
1.100000000000000000e+01,2.794040753369303332e+01,1.825822239745627407e+00,8.576271186440678207e+00,5.757462253034382371e+01,7.011621815844417682e+00,1.857627118644067821e+01
1.200000000000000000e+01,2.792908482382289392e+01,1.991537321695394436e+00,9.355932203389830448e+00,5.749388344007990526e+01,7.645480166641350550e+00,1.935593220338983045e+01
1.300000000000000000e+01,2.791677926337601789e+01,2.157182319586998354e+00,1.013559322033898269e+01,5.740616620558641614e+01,8.278410570670470037e+00,2.013559322033898269e+01
1.400000000000000000e+01,2.790349128539656576e+01,2.322751404218275084e+00,1.091525423728813671e+01,5.731148147327436959e+01,8.910336207940119380e+00,2.091525423728813848e+01
1.500000000000000000e+01,2.788922135750088671e+01,2.488238749058517385e+00,1.169491525423728717e+01,5.720984073521351831e+01,9.541180380409118200e+00,2.169491525423728717e+01
1.600000000000000000e+01,2.787396998186108021e+01,2.653638530453520161e+00,1.247457627118644119e+01,5.710125632773752358e+01,1.017086652129578361e+01,2.247457627118644297e+01
1.700000000000000000e+01,2.785773769518728571e+01,2.818944927830516090e+00,1.325423728813559343e+01,5.698574142994668534e+01,1.079931820437096235e+01,2.325423728813559165e+01
1.800000000000000000e+01,2.784052506870883548e+01,2.984152123903007769e+00,1.403389830508474745e+01,5.686331006210836136e+01,1.142645915323404537e+01,2.403389830508474745e+01
1.900000000000000000e+01,2.782233270815413206e+01,3.149254304875485300e+00,1.481355932203389791e+01,5.673397708395530969e+01,1.205221325057078197e+01,2.481355932203389614e+01
2.000000000000000000e+01,2.780316125372932845e+01,3.314245660648019509e+00,1.559322033898305015e+01,5.659775819288212517e+01,1.267650454739178123e+01,2.559322033898305193e+01
2.100000000000000000e+01,2.778301138009581095e+01,3.479120385020721962e+00,1.637288135593220417e+01,5.645466992204001855e+01,1.329925727225058907e+01,2.637288135593220417e+01
2.200000000000000000e+01,2.776188379634644932e+01,3.643872675898072178e+00,1.715254237288135641e+01,5.630472963833015854e+01,1.392039584044021794e+01,2.715254237288135641e+01
2.300000000000000000e+01,2.773977924598064249e+01,3.808496735493098306e+00,1.793220338983050866e+01,5.614795554029581837e+01,1.453984486316700320e+01,2.793220338983050866e+01
2.400000000000000000e+01,2.771669850687816705e+01,3.972986770531409917e+00,1.871186440677966090e+01,5.598436665591358263e+01,1.515752915670070244e+01,2.871186440677966090e+01
2.500000000000000000e+01,2.769264239127178229e+01,4.137336992455060702e+00,1.949152542372881314e+01,5.581398284028386314e+01,1.577337375149967436e+01,2.949152542372881314e+01
2.600000000000000000e+01,2.766761174571865922e+01,4.301541617626264191e+00,2.027118644067796538e+01,5.563682477322108610e+01,1.638730390131008718e+01,3.027118644067796538e+01
