station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+00,3.060172590858487851e+01,2.130534327327723298e-01,2.784810126582278333e-01,4.259870465237635528e+01,5.662186570616476455e-01,6.278481012658227556e+00
2.000000000000000000e+00,3.119165638893005621e+01,4.343422732221184912e-01,5.569620253164556667e-01,4.317942017916329434e+01,1.148077801890723837e+00,6.556962025316456000e+00
3.000000000000000000e+00,3.176970767881203628e+01,6.636410299123869372e-01,8.354430379746835555e-01,4.374184296213292100e+01,1.745061692763275385e+00,6.835443037974683556e+00
4.000000000000000000e+00,3.233579908224893273e+01,9.007234614349028945e-01,1.113924050632911333e+00,4.428568174170979432e+01,2.356649401088357187e+00,7.113924050632911111e+00
5.000000000000000000e+00,3.288985297572418887e+01,1.145362611840387235e+00,1.392405063291139333e+00,4.481065769912378016e+01,2.982315073075258116e+00,7.392405063291139555e+00
6.000000000000000000e+00,3.343179481404409614e+01,1.397330845880344397e+00,1.670886075949367111e+00,4.531650453346833274e+01,3.621528192634066112e+00,7.670886075949367111e+00
7.000000000000000000e+00,3.396155313582902124e+01,1.656399884333868533e+00,1.949367088607594889e+00,4.580296853364681198e+01,4.273753845416108810e+00,7.949367088607594667e+00
8.000000000000000000e+00,3.447905956863770172e+01,1.922340839376301291e+00,2.227848101265822667e+00,4.626980864519038761e+01,4.938452983900561755e+00,8.227848101265822223e+00
9.000000000000000000e+00,3.498424883372447880e+01,2.194924249986180520e+00,2.506329113924050667e+00,4.671679653193341153e+01,5.615082693433273597e+00,8.506329113924049778e+00
1.000000000000000000e+01,3.547705875042925072e+01,2.473920117386919859e+00,2.784810126582278667e+00,4.714371663253319866e+01,6.303096459123725737e+00,8.784810126582279111e+00
1.100000000000000000e+01,3.595743024019963485e+01,2.759097940519640080e+00,3.063291139240506222e+00,4.755036621182320999e+01,7.001944433505788545e+00,9.063291139240506666e+00
1.200000000000000000e+01,3.642530733024555900e+01,3.050226751543604120e+00,3.341772151898734222e+00,4.793655540699013784e+01,7.711073704867933643e+00,9.341772151898734222e+00
1.300000000000000000e+01,3.688063715682563526e+01,3.347075151360661138e+00,3.620253164556961778e+00,4.830210726856694237e+01,8.429928566158300995e+00,9.620253164556961778e+00
1.400000000000000000e+01,3.732336996816561481e+01,3.649411345160157083e+00,3.898734177215189778e+00,4.864685779623577844e+01,9.157950784370097352e+00,9.898734177215189334e+00
1.500000000000000000e+01,3.775345912700846895e+01,3.957003177980712216e+00,4.177215189873417778e+00,4.897065596943616583e+01,9.894579870312615100e+00,1.017721518987341867e+01
1.600000000000000000e+01,3.817086111279628824e+01,4.269618170285326642e+00,4.455696202531645334e+00,4.927336377277565305e+01,1.063925334867325390e+01,1.045569620253164445e+01
1.700000000000000000e+01,3.857553552348374382e+01,4.587023553546202059e+00,4.734177215189873777e+00,4.955485621624148962e+01,1.139140702827584661e+01,1.073417721518987378e+01
1.800000000000000000e+01,3.896744507698333138e+01,4.908986305835758124e+00,5.012658227848101333e+00,4.981502135021415967e+01,1.215047527244067993e+01,1.101265822784810133e+01
1.900000000000000000e+01,3.934655561224217024e+01,5.235273187420227181e+00,5.291139240506328889e+00,5.005376027528433980e+01,1.291589126935165233e+01,1.129113924050632889e+01
2.000000000000000000e+01,3.971283608995062764e+01,5.565650776352283557e+00,5.569620253164557333e+00,5.027098714687741676e+01,1.368708730233605309e+01,1.156962025316455822e+01
2.100000000000000000e+01,4.006625859288281788e+01,5.899885504059141361e+00,5.848101265822784001e+00,5.046662917469078025e+01,1.446349501996264841e+01,1.184810126582278400e+01
