station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+00,3.417666072205074101e+01,1.946792869010086358e-01,2.531645569620253333e-01,4.617273886174933040e+01,6.429531060498894224e-01,6.253164556962024889e+00
2.000000000000000000e+00,3.435220102646667328e+01,3.913711206695529854e-01,5.063291139240506666e-01,4.633645722287059954e+01,1.290716027590791626e+00,6.506329113924050667e+00
3.000000000000000000e+00,3.452660371794858207e+01,5.900690210588607210e-01,7.594936708860760000e-01,4.649105464338295235e+01,1.943161743844445066e+00,6.759493670886076444e+00
4.000000000000000000e+00,3.469985163885520052e+01,7.907663772299053928e-01,1.012658227848101333e+00,4.663643247827826599e+01,2.600161369753735130e+00,7.012658227848101333e+00
5.000000000000000000e+00,3.487192767013308270e+01,9.934564479712193474e-01,1.265822784810126667e+00,4.677249390995992684e+01,3.261584181434066032e+00,7.265822784810126223e+00
6.000000000000000000e+00,3.504281473224503429e+01,1.198132361925060785e+00,1.518987341772152000e+00,4.689914398031958598e+01,3.927297642166567737e+00,7.518987341772152000e+00
7.000000000000000000e+00,3.521249578609738506e+01,1.404787117819932485e+00,1.772151898734177333e+00,4.701628962244316057e+01,4.597167428927983579e+00,7.772151898734177777e+00
8.000000000000000000e+00,3.538095383396572657e+01,1.613413584709433746e+00,2.025316455696202667e+00,4.712383969193715672e+01,5.271057459451911065e+00,8.025316455696202667e+00
9.000000000000000000e+00,3.554817192041939222e+01,1.824004502217452028e+00,2.278481012658227556e+00,4.722170499786685838e+01,5.948829919815979750e+00,8.278481012658227556e+00
1.000000000000000000e+01,3.571413313324433858e+01,2.036552480789671549e+00,2.531645569620253333e+00,4.730979833329772788e+01,6.630345292549359115e+00,8.531645569620252445e+00
1.100000000000000000e+01,3.587882060436459142e+01,2.251050001951397483e+00,2.784810126582278222e+00,4.738803450543149154e+01,7.315462385254886790e+00,8.784810126582279111e+00
1.200000000000000000e+01,3.604221751076222091e+01,2.467489418571692017e+00,3.037974683544304000e+00,4.745633036532863969e+01,8.004038359739986674e+00,9.037974683544304000e+00
