station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+00,3.616951023585551184e+01,1.545906480616794809e+00,2.531645569620253333e-01,4.814752550200916659e+01,2.302139238950930977e+00,6.253164556962024889e+00
2.000000000000000000e+00,3.627300050157966638e+01,3.098074860983095924e+00,5.063291139240506666e-01,4.818528300862952563e+01,4.607456304456380991e+00,6.506329113924050667e+00
3.000000000000000000e+00,3.631165074284711380e+01,4.645430806679061497e+00,7.594936708860760000e-01,4.811538708244338380e+01,6.899841406714031677e+00,6.759493670886076444e+00
4.000000000000000000e+00,3.628814253404196677e+01,6.177064871961357007e+00,1.012658227848101333e+00,4.794223104222272980e+01,9.163565881914269795e+00,7.012658227848101333e+00
5.000000000000000000e+00,3.620659050805137724e+01,7.682426236142818610e+00,1.265822784810126667e+00,4.767236761872899820e+01,1.138358608631765101e+01,7.265822784810126223e+00
6.000000000000000000e+00,3.607243327472863825e+01,9.151497962343810855e+00,1.518987341772152000e+00,4.731432962186998736e+01,1.354581583772620412e+01,7.518987341772152000e+00
7.000000000000000000e+00,3.589228859148146711e+01,1.057494696621679431e+01,1.772151898734177333e+00,4.687839872256977003e+01,1.563735698051155332e+01,7.772151898734177777e+00
8.000000000000000000e+00,3.567377885563504947e+01,1.194424339690898051e+01,2.025316455696202667e+00,4.637633238532931301e+01,1.764668010137263465e+01,8.025316455696202667e+00
9.000000000000000000e+00,3.542533388705052744e+01,1.325174591456280382e+01,2.278481012658227556e+00,4.582106024854390824e+01,1.956375025232865639e+01,8.278481012658227556e+00
1.000000000000000000e+01,3.515597842709954080e+01,1.449075127069511204e+01,2.531645569620253333e+00,4.522636179407726331e+01,2.138009554150254843e+01,8.531645569620252445e+00
1.100000000000000000e+01,3.487511180098040597e+01,1.565550852967000317e+01,2.784810126582278222e+00,4.460653699121196070e+01,2.308881942706191026e+01,8.784810126582279111e+00
1.200000000000000000e+01,3.459228681449287990e+01,1.674120008929592629e+01,3.037974683544304000e+00,4.397608081431170746e+01,2.468456030848343374e+01,9.037974683544304000e+00
1.300000000000000000e+01,3.431699425302002737e+01,1.774389326195385408e+01,3.291139240506328889e+00,4.334937123471045339e+01,2.616340439672177709e+01,9.291139240506328889e+00
1.400000000000000000e+01,3.405845840940369129e+01,1.866046748424848545e+01,3.544303797468354666e+00,4.274037862257079468e+01,2.752275974655270829e+01,9.544303797468355555e+00
1.500000000000000000e+01,3.382544798896368832e+01,1.948852318004005824e+01,3.797468354430379556e+00,4.216240262554362062e+01,2.876120068146775921e+01,9.797468354430378668e+00
1.600000000000000000e+01,3.362610562472918474e+01,2.022627888366484683e+01,4.050632911392405333e+00,4.162784067868149407e+01,2.987829261009193615e+01,1.005063291139240533e+01
