station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+00,3.420184661077005472e+01,2.164702740527311986e-01,3.797468354430379445e-01,4.417402103378856992e+01,5.312321891486568859e-01,8.737555471315369360e+00
2.000000000000000000e+00,3.440230695370149760e+01,4.354955000896971740e-01,7.594936708860758889e-01,4.434160296622172126e+01,1.066649285269742453e+00,9.474545173631506501e+00
3.000000000000000000e+00,3.460135677381394714e+01,6.570667504573722839e-01,1.139240506329114000e+00,4.450267032019366553e+01,1.606172939142277656e+00,1.021040423254625829e+01
4.000000000000000000e+00,3.479897187392896996e+01,8.811748928284404148e-01,1.518987341772151778e+00,4.465714857547039429e+01,2.149723591570708692e+00,1.094456956143708481e+01
5.000000000000000000e+00,3.499512811628930820e+01,1.107810590577899434e+00,1.898734177215190000e+00,4.480496418687376092e+01,2.697220485112459709e+00,1.167648075181676326e+01
6.000000000000000000e+00,3.518980142417554191e+01,1.336964303171457980e+00,2.278481012658228000e+00,4.494604460232143595e+01,3.248581676067825441e+00,1.240558095945437245e+01
7.000000000000000000e+00,3.538296778352025740e+01,1.568626286566216610e+00,2.658227848101265778e+00,4.508031828071893443e+01,3.803724046730425634e+00,1.313131778486049228e+01
8.000000000000000000e+00,3.557460324451955813e+01,1.802786593623609601e+00,3.037974683544303556e+00,4.520771470970005623e+01,4.362563317896388959e+00,1.385314414674434857e+01
9.000000000000000000e+00,3.576468392324184720e+01,2.039435074534596382e+00,3.417721518987341778e+00,4.532816442321221473e+01,4.925014061630391460e+00,1.457051914706176099e+01
1.000000000000000000e+01,3.595318600323381020e+01,2.278561377257077414e+00,3.797468354430380000e+00,4.544159901894290954e+01,5.490989714286618195e+00,1.528290892628615083e+01
1.100000000000000000e+01,3.614008573712345651e+01,2.520154947965522307e+00,4.177215189873417778e+00,4.554795117558385442e+01,6.060402589782655447e+00,1.598978750755017053e+01
1.200000000000000000e+01,3.632535944822015495e+01,2.764205031512786181e+00,4.556962025316456000e+00,4.564715466992910109e+01,6.633163893124320865e+00,1.669063762832325537e+01
1.300000000000000000e+01,3.650898353211161407e+01,3.010700671904095849e+00,4.936708860759493334e+00,4.573914439380376962e+01,7.209183734179301695e+00,1.738495155831000005e+01
1.400000000000000000e+01,3.669093445825764377e+01,3.259630712783188500e+00,5.316455696202531556e+00,4.582385637081967644e+01,7.788371141697520983e+00,1.807223190227610843e+01
1.500000000000000000e+01,3.687118877158069097e+01,3.510983797930572692e+00,5.696202531645568889e+00,4.590122777295455592e+01,8.370634077576029952e+00,1.875199238653250333e+01
1.600000000000000000e+01,3.704972309405295050e+01,3.764748371773899205e+00,6.075949367088607111e+00,4.597119693695137244e+01,8.955879451366218547e+00,1.942375862783400109e+01
1.700000000000000000e+01,3.722651412628006540e+01,4.020912679910413345e+00,6.455696202531646222e+00,4.603370338053413491e+01,9.544013135021048200e+00,2.008706888347668595e+01
1.800000000000000000e+01,3.740153864908133841e+01,4.279464769641469601e+00,6.835443037974683556e+00,4.608868781843706586e+01,1.013493997788002687e+01,2.074147478140806555e+01
1.900000000000000000e+01,3.757477352506617763e+01,4.540392490519078450e+00,7.215189873417721778e+00,4.613609217824362929e+01,1.072856382188953006e+01,2.138654202919543934e+01
2.000000000000000000e+01,3.774619570020694681e+01,4.803683494904464446e+00,7.594936708860760000e+00,4.617585961603199962e+01,1.132478751705605724e+01,2.202185110073151009e+01
2.100000000000000000e+01,3.791578220540796451e+01,5.069325238538615608e+00,7.974683544303796445e+00,4.620793453182380972e+01,1.192351293712998661e+01,2.264699789959136211e+01
2.200000000000000000e+01,3.808351015807060946e+01,5.337304981124788128e+00,8.354430379746835555e+00,4.623226258483278883e+01,1.252464099551730925e+01,2.326159439799200612e+01
2.300000000000000000e+01,3.824935676365443982e+01,5.607609786922943762e+00,8.734177215189873777e+00,4.624879070851013552e+01,1.312807166141678117e+01,2.386526925034404201e+01
2.400000000000000000e+01,3.841329931723426228e+01,5.880226525356098577e+00,9.113924050632912000e+00,4.625746712538330030e+01,1.373370397617990513e+01,2.445766838042536051e+01
2.500000000000000000e+01,3.857531520505296641e+01,6.155141871628545758e+00,9.493670886075950222e+00,4.625824136168508716e+01,1.434143606989116826e+01,2.503845554124843886e+01
2.600000000000000000e+01,3.873538190607023068e+01,6.432342307355929378e+00,9.873417721518986667e+00,4.625106426176992613e+01,1.495116517816568447e+01,2.560731284673593677e+01
2.700000000000000000e+01,3.889347699350678056e+01,6.711814121207141604e+00,1.025316455696202489e+01,4.623588800231405571e+01,1.556278765916171913e+01,2.616394127436392836e+01
2.800000000000000000e+01,3.904957813638428377e+01,6.993543409558010460e+00,1.063291139240506311e+01,4.621266610629680116e+01,1.617619901080518829e+01,2.670806113797797110e+01
2.900000000000000000e+01,3.920366310106071950e+01,7.277516077156741758e+00,1.101265822784810133e+01,4.618135345675968750e+01,1.679129388822332203e+01,2.723941253003441432e+01
3.000000000000000000e+01,3.935570975276115036e+01,7.563717837801105404e+00,1.139240506329113778e+01,4.614190631034036727e+01,1.740796612138473165e+01,2.775775573256761675e+01
3.100000000000000000e+01,3.950569605710379761e+01,7.852134215027306574e+00,1.177215189873417600e+01,4.609428231057862746e+01,1.802610873294289107e+01,2.826287159623338852e+01
3.200000000000000000e+01,3.965360008162137007e+01,8.142750542810524905e+00,1.215189873417721422e+01,4.603844050099127827e+01,1.864561395628009777e+01,2.875456188682906244e+01
3.300000000000000000e+01,3.979939999727747590e+01,8.435551966277094138e+00,1.253164556962025245e+01,4.597434133791313826e+01,1.926637325374897713e+01,2.923264959874258651e+01
3.400000000000000000e+01,3.994307407997817450e+01,8.730523442428276937e+00,1.291139240506329244e+01,4.590194670310136615e+01,1.988827733510850493e+01,2.969697923483474966e+01
3.500000000000000000e+01,4.008460071207844067e+01,9.027649740875595796e+00,1.329113924050632889e+01,4.582121991610004841e+01,2.051121617615141801e+01,3.014741705231211455e+01
3.600000000000000000e+01,4.022395838388350597e+01,9.326915444587720927e+00,1.367088607594936711e+01,4.573212574636254146e+01,2.113507903751999706e+01,3.058385127420188354e+01
3.700000000000000000e+01,4.036112569514504855e+01,9.628304950648821858e+00,1.405063291139240533e+01,4.563463042512869805e+01,2.175975448370703802e+01,3.100619226609425283e+01
3.800000000000000000e+01,4.049608135655202545e+01,9.931802471028394308e+00,1.443037974683544356e+01,4.552870165705427041e+01,2.238513040223878292e+01,3.141437267787284071e+01
3.900000000000000000e+01,4.062880419121619013e+01,1.023739203336251435e+01,1.481012658227848000e+01,4.541430863158986853e+01,2.301109402303676177e+01,3.180834755020907068e+01
4.000000000000000000e+01,4.075927313615211034e+01,1.054505748174646840e+01,1.518987341772152000e+01,4.529142203410685141e+01,2.363753193795505325e+01,3.218809438565211423e+01
4.100000000000000000e+01,4.088746724375170771e+01,1.085478247753873227e+01,1.556962025316455644e+01,4.516001405676758651e+01,2.426433012048984494e+01,3.255361318420195715e+01
4.200000000000000000e+01,4.101336568325307752e+01,1.116655050017625683e+01,1.594936708860759289e+01,4.502005840913751911e+01,2.489137394565794281e+01,3.290492644330944216e+01
4.300000000000000000e+01,4.113694774220365247e+01,1.148034484800104593e+01,1.632911392405063467e+01,4.487153032853656498e+01,2.551854821004079099e+01,3.324207912230315287e+01
4.400000000000000000e+01,4.125819282791760401e+01,1.179614863909791822e+01,1.670886075949367111e+01,4.471440659012746011e+01,2.614573715199062676e+01,3.356513857129945677e+01
4.500000000000000000e+01,4.137708046892728930e+01,1.211394481214351515e+01,1.708860759493671111e+01,4.454866551673849528e+01,2.677282447199545246e+01,3.387419442470816477e+01
4.600000000000000000e+01,4.149359031642877937e+01,1.243371612726640407e+01,1.746835443037974755e+01,4.437428698841853958e+01,2.739969335319912247e+01,3.416935845950207806e+01
4.700000000000000000e+01,4.160770214572134762e+01,1.275544516691833152e+01,1.784810126582278400e+01,4.419125245172174488e+01,2.802622648207329092e+01,3.445076441847463400e+01
4.800000000000000000e+01,4.171939585764081215e+01,1.307911433675652368e+01,1.822784810126582400e+01,4.399954492871989942e+01,2.865230606923755374e+01,3.471856779876503651e+01
4.900000000000000000e+01,4.182865147998668220e+01,1.340470586653699492e+01,1.860759493670886044e+01,4.379914902574011393e+01,2.927781387042413286e+01,3.497294560598534474e+01
5.000000000000000000e+01,4.193544916894302332e+01,1.373220181101887682e+01,1.898734177215190044e+01,4.359005094182565188e+01,2.990263120758374171e+01,3.521409607433821520e+01
