station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000000e+00,3.220207654917462037e+01,1.712025262985305274e-01,3.291139240506328889e-01,4.617336627885941169e+01,5.961955804639782475e-01,7.535847802554646258e+00
2.000000000000000000e+00,3.240323146953735289e+01,3.445536740832336742e-01,6.582278481012657778e-01,4.633897629561302267e+01,1.196867455239066125e+00,8.071368716354180961e+00
3.000000000000000000e+00,3.260344762695646637e+01,5.200484523466709641e-01,9.873417721518987777e-01,4.649674337093428989e+01,1.801914347086980506e+00,8.606236369521804264e+00
4.000000000000000000e+00,3.280270791448120349e+01,6.976817486282785863e-01,1.316455696202531556e+00,4.664658215262504370e+01,2.411233486863226805e+00,9.140125423120048609e+00
5.000000000000000000e+00,3.300099525314889348e+01,8.774483291631720583e-01,1.645569620253164667e+00,4.678840863968792263e+01,3.024720630966759138e+00,9.672712085578519137e+00
6.000000000000000000e+00,3.319829259279118361e+01,1.059342839036095274e+00,1.974683544303797555e+00,4.692214020616868453e+01,3.642270079162498675e+00,1.020367462467490327e+01
7.000000000000000000e+00,3.339458291283952462e+01,1.243359802340517462e+00,2.303797468354430222e+00,4.704769562476270295e+01,4.263774692773681707e+00,1.073269387625976101e+01
8.000000000000000000e+00,3.358984922312964727e+01,1.429493622342869141e+00,2.632911392405063111e+00,4.716499509018008496e+01,4.889125913240893517e+00,1.125945374892064343e+01
9.000000000000000000e+00,3.378407456470525716e+01,1.617738581651911423e+00,2.962025316455696000e+00,4.727396024226393223e+01,5.518213781044585708e+00,1.178364172378758212e+01
1.000000000000000000e+01,3.397724201062063543e+01,1.808088842393234863e+00,3.291139240506329333e+00,4.737451418885618892e+01,6.150926954987786743e+00,1.230494934868966261e+01
1.100000000000000000e+01,3.416933466674243647e+01,2.000538446388886005e+00,3.620253164556961778e+00,4.746658152840566203e+01,6.787152731835619512e+00,1.282307272588130687e+01
1.200000000000000000e+01,3.436033567255029197e+01,2.195081315342105821e+00,3.949367088607595111e+00,4.755008837231284247e+01,7.426777066308194009e+00,1.333771299256708076e+01
1.300000000000000000e+01,3.455022820193652677e+01,2.391711251027189622e+00,4.278481012658227556e+00,4.762496236700611973e+01,8.069684591423323283e+00,1.384857679346518644e+01
1.400000000000000000e+01,3.473899546400471650e+01,2.590421935484446436e+00,4.607594936708860445e+00,4.769113271574405388e+01,8.715758639185446910e+00,1.435537674466248248e+01
1.500000000000000000e+01,3.492662070386712259e+01,2.791206931220266529e+00,4.936708860759493334e+00,4.774853020013862448e+01,9.364881261617099995e+00,1.485783188802750132e+01
1.600000000000000000e+01,3.511308720344111123e+01,2.994059681412276408e+00,5.265822784810126223e+00,4.779708720139397826e+01,1.001693325212911923e+01,1.535566813546302001e+01
1.700000000000000000e+01,3.529837828224425778e+01,3.198973510119589747e+00,5.594936708860760000e+00,4.783673772125574430e+01,1.067179416722574992e+01,1.584861870229567238e+01
1.800000000000000000e+01,3.548247729818832852e+01,3.405941622498133814e+00,5.924050632911392000e+00,4.786741740266574396e+01,1.132934234854076472e+01,1.633642452911734466e+01
1.900000000000000000e+01,3.566536764837204032e+01,3.614957105021055828e+00,6.253164556962025777e+00,4.788906355011690863e+01,1.198945494520053678e+01,1.681883469141137510e+01
2.000000000000000000e+01,3.584703276987251286e+01,3.826012925704194156e+00,6.582278481012658666e+00,4.790161514970371570e+01,1.265200793651003508e+01,1.729560679631575582e+01
2.100000000000000000e+01,3.602745614053545609e+01,4.039101934336607691e+00,6.911392405063290667e+00,4.790501288886279951e+01,1.331687615495758514e+01,1.776650736589610347e+01
2.200000000000000000e+01,3.620662127976403610e+01,4.254216862716167391e+00,7.240506329113923556e+00,4.789919917579922526e+01,1.398393330953413383e+01,1.823131220632224370e+01
2.300000000000000000e+01,3.638451174930634124e+01,4.471350324890183359e+00,7.569620253164556445e+00,4.788411815859335974e+01,1.465305200936281160e+01,1.868980676236474281e+01
2.400000000000000000e+01,3.656111115404155498e+01,4.690494817401079430e+00,7.898734177215190222e+00,4.785971574398364936e+01,1.532410378763429115e+01,1.914178645665082712e+01
2.500000000000000000e+01,3.673640314276456564e+01,4.911642719537084645e+00,8.227848101265823999e+00,4.782593961582060160e+01,1.599695912584363633e+01,1.958705701314326220e+01
2.600000000000000000e+01,3.691037140896924740e+01,5.134786293587958461e+00,8.556962025316455112e+00,4.778273925318728743e+01,1.667148747832404254e+01,2.002543476433069358e+01
2.700000000000000000e+01,3.708299969163024201e+01,5.359917685105729745e+00,8.886075949367088000e+00,4.773006594818181725e+01,1.734755729707293881e+01,2.045674694164374330e+01
2.800000000000000000e+01,3.725427177598312767e+01,5.587028923170429984e+00,9.215189873417720889e+00,4.766787282335725706e+01,1.802503605686572996e+01,2.088083194863762415e+01
2.900000000000000000e+01,3.742417149430319512e+01,5.816111920660825163e+00,9.544303797468355555e+00,4.759611484881448007e+01,1.870379028065257998e+01,2.129753961650933647e+01
3.000000000000000000e+01,3.759268272668250432e+01,6.047158474530148098e+00,9.873417721518986667e+00,4.751474885894360511e+01,1.938368556523332487e+01,2.170673144154540068e+01
3.100000000000000000e+01,3.775978940180547738e+01,6.280160266086794785e+00,1.020253164556961956e+01,4.742373356880965929e+01,2.006458660720577569e+01,2.210828080412472119e+01
