station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+00,2.999998922723419881e+01,2.542372577040507078e-02,3.389830508474576121e-01,5.499998024992936507e+01,4.661016391240929702e-02,6.338983050847457612e+00
2.000000000000000000e+00,2.999995690894452949e+01,5.084743328188724015e-02,6.779661016949152241e-01,5.499992099973163562e+01,9.322029435012660348e-02,6.677966101694915224e+00
3.000000000000000000e+00,2.999990304515420547e+01,7.627110427553672467e-02,1.016949152542372836e+00,5.499982224944937315e+01,1.398303578384839929e-01,7.016949152542372836e+00
4.000000000000000000e+00,2.999982763590190871e+01,1.016947204924699422e-01,1.355932203389830448e+00,5.499968399915349693e+01,1.864403209028615560e-01,7.355932203389830448e+00
5.000000000000000000e+00,2.999973068124180031e+01,1.271182636738426575e-01,1.694915254237288060e+00,5.499950624894329820e+01,2.330501500687115479e-01,7.694915254237288060e+00
6.000000000000000000e+00,2.999961218124350637e+01,1.525417155608632114e-01,2.033898305084745672e+00,5.499928899894642598e+01,2.796598118615825079e-01,8.033898305084745672e+00
7.000000000000000000e+00,2.999947213599213569e+01,1.779650578948052397e-01,2.372881355932203284e+00,5.499903224931891543e+01,3.262692728071429626e-01,8.372881355932204173e+00
8.000000000000000000e+00,2.999931054558826560e+01,2.033882724170213430e-01,2.711864406779660897e+00,5.499873600024515241e+01,3.728784994312057677e-01,8.711864406779660897e+00
9.000000000000000000e+00,2.999912741014794548e+01,2.288113408689557149e-01,3.050847457627118953e+00,5.499840025193790183e+01,4.194874582597521440e-01,9.050847457627119397e+00
1.000000000000000000e+01,2.999892272980270391e+01,2.542342449921575209e-01,3.389830508474576121e+00,5.499802500463828636e+01,4.660961158189554920e-01,9.389830508474576121e+00
1.100000000000000000e+01,2.999869650469953442e+01,2.796569665282940265e-01,3.728813559322033733e+00,5.499761025861581487e+01,5.127044386352057614e-01,9.728813559322034621e+00
1.200000000000000000e+01,2.999844873500091680e+01,3.050794872191635587e-01,4.067796610169491345e+00,5.499715601416834687e+01,5.593123932351332650e-01,1.006779661016949134e+01
1.300000000000000000e+01,2.999817942088478517e+01,3.305017888067085519e-01,4.406779661016948957e+00,5.499666227162210674e+01,6.059199461456323821e-01,1.040677966101694807e+01
1.400000000000000000e+01,2.999788856254456704e+01,3.559238530330291472e-01,4.745762711864406569e+00,5.499612903133170505e+01,6.525270638938867052e-01,1.074576271186440657e+01
1.500000000000000000e+01,2.999757616018914064e+01,3.813456616403955168e-01,5.084745762711864181e+00,5.499555629368009591e+01,6.991337130073917994e-01,1.108474576271186507e+01
1.600000000000000000e+01,2.999724221404288471e+01,4.067671963712617411e-01,5.423728813559321793e+00,5.499494405907861960e+01,7.457398600139798495e-01,1.142372881355932179e+01
1.700000000000000000e+01,2.999688672434561454e+01,4.321884389682785765e-01,5.762711864406780293e+00,5.499429232796695999e+01,7.923454714418440847e-01,1.176271186440678029e+01
1.800000000000000000e+01,2.999650969135264944e+01,4.576093711743063341e-01,6.101694915254237905e+00,5.499360110081319419e+01,8.389505138195615386e-01,1.210169491525423879e+01
1.900000000000000000e+01,2.999611111533476659e+01,4.830299747324283688e-01,6.440677966101694629e+00,5.499287037811374290e+01,8.855549536761185836e-01,1.244067796610169552e+01
2.000000000000000000e+01,2.999569099657821880e+01,5.084502313859642353e-01,6.779661016949152241e+00,5.499210016039339877e+01,9.321587575409343573e-01,1.277966101694915224e+01
2.100000000000000000e+01,2.999524933538472382e+01,5.338701228784825670e-01,7.118644067796609853e+00,5.499129044820532641e+01,9.787618919438846321e-01,1.311864406779660897e+01
2.200000000000000000e+01,2.999478613207148214e+01,5.592896309538140098e-01,7.457627118644067465e+00,5.499044124213104823e+01,1.025364323415325574e+00,1.345762711864406747e+01
2.300000000000000000e+01,2.999430138697115211e+01,5.847087373560647672e-01,7.796610169491525966e+00,5.498955254278044436e+01,1.071966018486118832e+00,1.379661016949152597e+01
2.400000000000000000e+01,2.999379510043187125e+01,6.101274238296297003e-01,8.135593220338982690e+00,5.498862435079176691e+01,1.118566943687654636e+00,1.413559322033898269e+01
2.500000000000000000e+01,2.999326727281725269e+01,6.355456721192047631e-01,8.474576271186439413e+00,5.498765666683162578e+01,1.165167065551875325e+00,1.447457627118643941e+01
2.600000000000000000e+01,2.999271790450637099e+01,6.609634639698009906e-01,8.813559322033897914e+00,5.498664949159500992e+01,1.211766350611301890e+00,1.481355932203389791e+01
2.700000000000000000e+01,2.999214699589377275e+01,6.863807811267572667e-01,9.152542372881356414e+00,5.498560282580524472e+01,1.258364765399055063e+00,1.515254237288135641e+01
2.800000000000000000e+01,2.999155454738947668e+01,7.117976053357532029e-01,9.491525423728813138e+00,5.498451667021404177e+01,1.304962276448880854e+00,1.549152542372881314e+01
2.900000000000000000e+01,2.999094055941896642e+01,7.372139183428223497e-01,9.830508474576271638e+00,5.498339102560144198e+01,1.351558850295174308e+00,1.583050847457627164e+01
3.000000000000000000e+01,2.999030503242320478e+01,7.626297018943656303e-01,1.016949152542372836e+01,5.498222589277587247e+01,1.398154453473003711e+00,1.616949152542373014e+01
3.100000000000000000e+01,2.998964796685860890e+01,7.880449377371641084e-01,1.050847457627118686e+01,5.498102127257411809e+01,1.444749052518134347e+00,1.650847457627118686e+01
3.200000000000000000e+01,2.998896936319708217e+01,8.134596076183923108e-01,1.084745762711864359e+01,5.497977716586132146e+01,1.491342613967052699e+00,1.684745762711864359e+01
3.300000000000000000e+01,2.998826922192598232e+01,8.388736932856308837e-01,1.118644067796610031e+01,5.497849357353096877e+01,1.537935104356989768e+00,1.718644067796610031e+01
3.400000000000000000e+01,2.998754754354814267e+01,8.642871764868806927e-01,1.152542372881356059e+01,5.497717049650493237e+01,1.584526490225947937e+00,1.752542372881356059e+01
3.500000000000000000e+01,2.998680432858186151e+01,8.897000389705742585e-01,1.186440677966101731e+01,5.497580793573340685e+01,1.631116738112719622e+00,1.786440677966101731e+01
