station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+00,2.999982763590190871e+01,1.016947204924699422e-01,3.389830508474576121e-01,5.499903224931891543e+01,3.262692728071429626e-01,8.338983050847456724e+00
2.000000000000000000e+00,2.999931054558826560e+01,2.033882724170213430e-01,6.779661016949152241e-01,5.499612903133170505e+01,6.525270638938867052e-01,8.677966101694915224e+00
3.000000000000000000e+00,2.999844873500091680e+01,3.050794872191635587e-01,1.016949152542372836e+00,5.499129044820532641e+01,9.787618919438846321e-01,9.016949152542373724e+00
4.000000000000000000e+00,2.999724221404288471e+01,4.067671963712617411e-01,1.355932203389830448e+00,5.498451667021404177e+01,1.304962276448880854e+00,9.355932203389830448e+00
5.000000000000000000e+00,2.999569099657821880e+01,5.084502313859642353e-01,1.694915254237288060e+00,5.497580793573340685e+01,1.631116738112719400e+00,9.694915254237287172e+00
6.000000000000000000e+00,2.999379510043187125e+01,6.101274238296297003e-01,2.033898305084745672e+00,5.496516455123194334e+01,1.957213799255313358e+00,1.003389830508474567e+01
7.000000000000000000e+00,2.999155454738947668e+01,7.117976053357532029e-01,2.372881355932203284e+00,5.495258689126027463e+01,2.283241984216552112e+00,1.037288135593220417e+01
8.000000000000000000e+00,2.998896936319708217e+01,8.134596076183923108e-01,2.711864406779660897e+00,5.493807539843801635e+01,2.609189819760143081e+00,1.071186440677966090e+01
9.000000000000000000e+00,2.998603957756089500e+01,9.151122624855914101e-01,3.050847457627118953e+00,5.492163058343813020e+01,2.935045835477365639e+00,1.105084745762711940e+01
1.000000000000000000e+01,2.998276522414690248e+01,1.016754401852805190e+00,3.389830508474576121e+00,5.490325302496903959e+01,3.260798564190721116e+00,1.138983050847457612e+01
1.100000000000000000e+01,2.997914634058050254e+01,1.118384857756322237e+00,3.728813559322033733e+00,5.488294336975416599e+01,3.586436542357481994e+00,1.172881355932203462e+01
1.200000000000000000e+01,2.997518296844606667e+01,1.220002462366684526e+00,4.067796610169491345e+00,5.486070233250925554e+01,3.911948310473096324e+00,1.206779661016949134e+01
1.300000000000000000e+01,2.997087515328647100e+01,1.321606048002106792e+00,4.406779661016948957e+00,5.483653069591717610e+01,4.237322413474461591e+00,1.240677966101694807e+01
1.400000000000000000e+01,2.996622294460255276e+01,1.423194447141896246e+00,4.745762711864406569e+00,5.481042931060039791e+01,4.562547401143040027e+00,1.274576271186440657e+01
1.500000000000000000e+01,2.996122639585256664e+01,1.524766492439866727e+00,5.084745762711864181e+00,5.478239909509103001e+01,4.887611828507803402e+00,1.308474576271186507e+01
1.600000000000000000e+01,2.995588556445155604e+01,1.626321016737752423e+00,5.423728813559321793e+00,5.475244103579854738e+01,5.212504256247987300e+00,1.342372881355932179e+01
1.700000000000000000e+01,2.995020051177068865e+01,1.727856853078621358e+00,5.762711864406780293e+00,5.472055618697502410e+01,5.537213251095656652e+00,1.376271186440678029e+01
1.800000000000000000e+01,2.994417130313656372e+01,1.829372834720282670e+00,6.101694915254237905e+00,5.468674567067807146e+01,5.861727386238051452e+00,1.410169491525423879e+01
1.900000000000000000e+01,2.993779800783046241e+01,1.930867795148694999e+00,6.440677966101694629e+00,5.465101067673133173e+01,6.186035241719703315e+00,1.444067796610169552e+01
2.000000000000000000e+01,2.993108069908753066e+01,2.032340568091371757e+00,6.779661016949152241e+00,5.461335246268261301e+01,6.510125404844324670e+00,1.477966101694915224e+01
2.100000000000000000e+01,2.992401945409595854e+01,2.133789987530779975e+00,7.118644067796609853e+00,5.457377235375962954e+01,6.833986470576419059e+00,1.511864406779660897e+01
2.200000000000000000e+01,2.991661435399609204e+01,2.235214887717739796e+00,7.457627118644067465e+00,5.453227174282338297e+01,7.157607041942641857e+00,1.545762711864406747e+01
2.300000000000000000e+01,2.990886548387948807e+01,2.336614103184823321e+00,7.796610169491525966e+00,5.448885209031912069e+01,7.480975730432873227e+00,1.579661016949152597e+01
2.400000000000000000e+01,2.990077293278794812e+01,2.437986468759740344e+00,8.135593220338982690e+00,5.444351492422497074e+01,7.804081156400983765e+00,1.613559322033898269e+01
2.500000000000000000e+01,2.989233679371249153e+01,2.539330819578734300e+00,8.474576271186439413e+00,5.439626183999813946e+01,8.126911949465299045e+00,1.647457627118643941e+01
2.600000000000000000e+01,2.988355716359228254e+01,2.640645991099964895e+00,8.813559322033897914e+00,5.434709450051879998e+01,8.449456748908733772e+00,1.681355932203389614e+01
2.700000000000000000e+01,2.987443414331352542e+01,2.741930819116885409e+00,9.152542372881356414e+00,5.429601463603152922e+01,8.771704204078583089e+00,1.715254237288135641e+01
2.800000000000000000e+01,2.986496783770829921e+01,2.843184139771629315e+00,9.491525423728813138e+00,5.424302404408446421e+01,9.093642974785968391e+00,1.749152542372881314e+01
2.900000000000000000e+01,2.985515835555334618e+01,2.944404789568376035e+00,9.830508474576271638e+00,5.418812458946603527e+01,9.415261731704905657e+00,1.783050847457626986e+01
3.000000000000000000e+01,2.984500580956884264e+01,3.045591605386724687e+00,1.016949152542372836e+01,5.413131820413929063e+01,9.736549156770985647e+00,1.816949152542373014e+01
3.100000000000000000e+01,2.983451031641707729e+01,3.146743424495058949e+00,1.050847457627118686e+01,5.407260688717401109e+01,1.005749394357968995e+01,1.850847457627118686e+01
3.200000000000000000e+01,2.982367199670113678e+01,3.247859084563907484e+00,1.084745762711864359e+01,5.401199270467623847e+01,1.037808479778425053e+01,1.884745762711864359e+01
3.300000000000000000e+01,2.981249097496350231e+01,3.348937423679300363e+00,1.118644067796610031e+01,5.394947778971568653e+01,1.069831043749312194e+01,1.918644067796610031e+01
3.400000000000000000e+01,2.980096737968461795e+01,3.449977280356121057e+00,1.152542372881356059e+01,5.388506434225057262e+01,1.101815959366700248e+01,1.952542372881356059e+01
3.500000000000000000e+01,2.978910134328142334e+01,3.550977493551449982e+00,1.186440677966101731e+01,5.381875462905027518e+01,1.133762101051538451e+01,1.986440677966101731e+01
3.600000000000000000e+01,2.977689300210583312e+01,3.651936902677912045e+00,1.220338983050847581e+01,5.375055098361551842e+01,1.165668344589268557e+01,2.020338983050847759e+01
3.700000000000000000e+01,2.976434249644315955e+01,3.752854347617005093e+00,1.254237288135593253e+01,5.368045580609629042e+01,1.197533567169383772e+01,2.054237288135593076e+01
3.800000000000000000e+01,2.975144997051050666e+01,3.853728668732440354e+00,1.288135593220338926e+01,5.360847156320733831e+01,1.229356647424944704e+01,2.088135593220339103e+01
