station,ax,ay,az,bx,by,bz
0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+00,2.599954251785985093e+01,1.542363835088311763e-01,3.389830508474576121e-01,4.799708707341565628e+01,5.288028620907336830e-01,8.338983050847456724e+00
2.000000000000000000e+00,2.599817008753862524e+01,3.084673392952918536e-01,6.779661016949152241e-01,4.798834864721018789e+01,1.057541542351681629e+00,8.677966101694915224e+00
3.000000000000000000e+00,2.599588275733342613e+01,4.626874398280181877e-01,1.016949152542372836e+00,4.797378578198335219e+01,1.586151866742931293e+00,9.016949152542373724e+00
4.000000000000000000e+00,2.599268060773754740e+01,6.168912579576526500e-01,1.355932203389830448e+00,4.795340024525835076e+01,2.114569676803371046e+00,9.355932203389830448e+00
5.000000000000000000e+00,2.598856375143760999e+01,7.710733671078309204e-01,1.694915254237288060e+00,4.792719451126735919e+01,2.642730837437726965e+00,9.694915254237287172e+00
6.000000000000000000e+00,2.598353233330964684e+01,9.252283414661481853e-01,2.033898305084745672e+00,4.789517176065116644e+01,3.170571244700766123e+00,1.003389830508474567e+01
7.000000000000000000e+00,2.597758653041394794e+01,1.079350756175097237e+00,2.372881355932203284e+00,4.785733588007317252e+01,3.698026833577712225e+00,1.037288135593220417e+01
8.000000000000000000e+00,2.597072655198887858e+01,1.233435187522976761e+00,2.711864406779660897e+00,4.781369146174765206e+01,4.225033585759943477e+00,1.071186440677966090e+01
9.000000000000000000e+00,2.596295263944348264e+01,1.387476213134754444e+00,3.050847457627118953e+00,4.776424380288236904e+01,4.751527537415021207e+00,1.105084745762711940e+01
1.000000000000000000e+01,2.595426506634899866e+01,1.541468412162886326e+00,3.389830508474576121e+00,4.770899890503565643e+01,5.277444786950100664e+00,1.138983050847457612e+01
1.100000000000000000e+01,2.594466413842924268e+01,1.695406365478082433e+00,3.728813559322033733e+00,4.764796347338799620e+01,5.802721502767793638e+00,1.172881355932203462e+01
1.200000000000000000e+01,2.593415019354983286e+01,1.849284655860009119e+00,4.067796610169491345e+00,4.758114491592819206e+01,6.327293931013531214e+00,1.206779661016949134e+01
1.300000000000000000e+01,2.592272360170630208e+01,2.003097868187927233e+00,4.406779661016948957e+00,4.750855134255427004e+01,6.851098403313493179e+00,1.240677966101694807e+01
1.400000000000000000e+01,2.591038476501109500e+01,2.156840589631255245e+00,4.745762711864406569e+00,4.743019156408912806e+01,7.374071344502167946e+00,1.274576271186440657e+01
1.500000000000000000e+01,2.589713411767939633e+01,2.310507409840051984e+00,5.084745762711864181e+00,4.734607509121119051e+01,7.896149280338580212e+00,1.308474576271186507e+01
1.600000000000000000e+01,2.588297212601385766e+01,2.464092921135411896e+00,5.423728813559321793e+00,4.725621213330002490e+01,8.417268845210303496e+00,1.342372881355932179e+01
1.700000000000000000e+01,2.586789928838819108e+01,2.617591718699764591e+00,5.762711864406780293e+00,4.716061359719725488e+01,8.937366789824244151e+00,1.376271186440678029e+01
1.800000000000000000e+01,2.585191613522963294e+01,2.770998400767078707e+00,6.101694915254237905e+00,4.705929108588277643e+01,9.456379988883346854e+00,1.410169491525423879e+01
1.900000000000000000e+01,2.583502322900026371e+01,2.924307568812950286e+00,6.440677966101694629e+00,4.695225689706646222e+01,9.974245448748233045e+00,1.444067796610169552e+01
2.000000000000000000e+01,2.581722116417723356e+01,3.077513827744589481e+00,6.779661016949152241e+00,4.683952402169555285e+01,1.049090031508285392e+01,1.477966101694915224e+01
